,real,predicted,diff
0,7,6,1
1,8,7,1
2,8,6,2
3,5,6,-1
4,7,6,1
5,6,6,0
6,5,5,0
7,4,6,-2
8,6,6,0
9,5,5,0
10,7,6,1
11,5,5,0
12,7,6,1
13,6,6,0
14,5,6,-1
15,5,6,-1
16,8,6,2
17,5,6,-1
18,7,6,1
19,6,5,1
20,6,6,0
21,7,6,1
22,5,5,0
23,5,6,-1
24,8,6,2
25,5,6,-1
26,5,5,0
27,6,6,0
28,7,5,2
29,5,5,0
30,5,5,0
31,5,6,-1
32,6,5,1
33,6,5,1
34,5,5,0
35,7,6,1
36,7,6,1
37,6,5,1
38,5,5,0
39,6,6,0
40,6,6,0
41,6,5,1
42,7,6,1
43,6,6,0
44,4,5,-1
45,6,6,0
46,6,5,1
47,6,5,1
48,5,6,-1
49,5,6,-1
50,5,5,0
51,5,6,-1
52,6,6,0
53,6,6,0
54,6,6,0
55,7,6,1
56,6,6,0
57,5,6,-1
58,5,6,-1
59,7,6,1
60,6,6,0
61,6,6,0
62,6,5,1
63,7,6,1
64,6,6,0
65,7,6,1
66,6,6,0
67,6,5,1
68,6,6,0
69,5,5,0
70,5,5,0
71,6,6,0
72,4,5,-1
73,5,5,0
74,5,6,-1
75,6,6,0
76,6,6,0
77,7,6,1
78,7,6,1
79,7,6,1
80,5,5,0
81,6,5,1
82,6,6,0
83,7,6,1
84,7,6,1
85,6,6,0
86,5,5,0
87,7,6,1
88,5,6,-1
89,7,6,1
90,7,6,1
91,5,5,0
92,7,6,1
93,6,6,0
94,8,6,2
95,7,6,1
96,6,7,-1
97,6,6,0
98,5,5,0
99,6,6,0
100,6,6,0
101,5,6,-1
102,7,6,1
103,6,5,1
104,6,6,0
105,6,6,0
106,7,6,1
107,7,6,1
108,5,6,-1
109,6,6,0
110,6,6,0
111,7,6,1
112,6,6,0
113,5,5,0
114,5,5,0
115,7,6,1
116,7,7,0
117,6,6,0
118,5,6,-1
119,8,6,2
120,5,5,0
121,6,6,0
122,6,6,0
123,6,5,1
124,7,6,1
125,6,6,0
126,7,7,0
127,6,6,0
128,6,6,0
129,5,5,0
130,5,6,-1
131,6,6,0
132,6,6,0
133,5,6,-1
134,5,5,0
135,6,6,0
136,6,6,0
137,6,5,1
138,6,6,0
139,5,5,0
140,8,6,2
141,6,6,0
142,6,6,0
143,6,5,1
144,6,6,0
145,5,5,0
146,5,5,0
147,6,6,0
148,5,5,0
149,6,6,0
150,6,6,0
151,6,6,0
152,6,6,0
153,5,6,-1
154,7,6,1
155,5,5,0
156,6,6,0
157,6,6,0
158,6,6,0
159,5,6,-1
160,6,6,0
161,5,5,0
162,6,6,0
163,6,5,1
164,7,6,1
165,6,6,0
166,5,5,0
167,5,6,-1
168,5,5,0
169,6,6,0
170,7,5,2
171,6,6,0
172,6,6,0
173,5,6,-1
174,6,7,-1
175,6,6,0
176,6,5,1
177,6,6,0
178,6,6,0
179,5,6,-1
180,6,6,0
181,5,6,-1
182,7,6,1
183,6,6,0
184,5,5,0
185,7,6,1
186,7,6,1
187,6,5,1
188,6,6,0
189,5,5,0
190,6,5,1
191,5,6,-1
192,7,6,1
193,6,6,0
194,4,5,-1
195,5,6,-1
196,7,7,0
197,6,6,0
198,6,5,1
199,6,6,0
200,7,6,1
201,4,5,-1
202,6,6,0
203,6,6,0
204,6,5,1
205,6,6,0
206,7,7,0
207,7,6,1
208,6,6,0
209,6,6,0
210,6,6,0
211,6,6,0
212,6,6,0
213,7,6,1
214,5,5,0
215,6,6,0
216,7,5,2
217,3,5,-2
218,6,6,0
219,6,6,0
220,5,5,0
221,6,6,0
222,5,6,-1
223,6,6,0
224,6,6,0
225,5,6,-1
226,7,6,1
